T,40,S,5,C,0,R,268435456,P,5
T,22,S,5,C,45297792,R,490123456,P,5
T,22,S,5,C,2102185855,R,-490123456,P,-5
T,2,S,1,C,0,R,1073741824,P,1
T,2,S,1,C,2147483647,R,-1073741824,P,-1
T,20,S,5,C,138792703,R,490123456,P,5
T,20,S,5,C,2008690943,R,-490123456,P,-5
T,85,S,29,C,1142286978,R,1474952488,P,29
T,85,S,29,C,1005196669,R,-1474952488,P,-29
T,83,S,29,C,257219053,R,1440245682,P,29
T,83,S,28,C,978773657,R,1423065814,P,28
T,69,S,29,C,7141901,R,18249367,P,29
T,69,S,29,C,2140341746,R,-18249367,P,-29
T,30,S,10,C,1184194885,R,1485425389,P,10
T,30,S,10,C,963288762,R,-1485425389,P,-10
T,69,S,29,C,750143799,R,-1937805465,P,-3
T,69,S,29,C,1397339848,R,1937805465,P,3
T,20,S,3,C,1567690391,R,-684668819,P,-3
T,20,S,3,C,1567689991,R,-684668839,P,-3
T,20,S,3,C,579793256,R,684668819,P,3
T,19,S,3,C,1644950944,R,-567500000,P,-3
T,27,S,2,C,1981026877,R,-542147383,P,-2
T,27,S,4,C,2026926877,R,-540447383,P,-2
T,27,S,4,C,120556770,R,540447383,P,2
T,11,S,4,C,115030,R,395851877,P,4
T,17,S,3,C,2043764022,R,-874851816,P,-3
T,11,S,4,C,115030,R,395851877,P,4
T,15,S,3,C,578742047,R,720827126,P,1
T,471,S,134,C,128535542,R,1349027442,P,34
T,14,S,2,C,4005542,R,56202500,P,0
T,471,S,134,C,128535542,R,1349027442,P,34
T,23,S,2,C,299535746,R,304337500,P,2
T,8842,S,682,C,21112357,R,234047268,P,-318
T,6884,S,792,C,2140113428,R,-482659138,P,36
T,10818,S,854,C,1825761,R,5874071,P,854
T,367,S,89,C,260582377,R,502677047,P,89
T,4419,S,842,C,1959708691,R,-261222793,P,728
T,577969,S,212579,C,199874382,R,600855946,P,212579
T,578247,S,212579,C,27378968,R,600095887,P,212579
T,577692,S,212579,C,601512122,R,601614795,P,212579
T,7667213,S,1813937,C,2145511894,R,-440412855,P,1397709
T,2549531,S,853667,C,494970505,R,495964616,P,853667
T,651,S,240,C,2147356522,R,-1744548,P,238
T,115,S,36,C,809604235,R,1581491965,P,26
T,61,S,17,C,2133899377,R,-13608939,P,15
T,2030,S,1733,C,1833381761,R,1833381763,P,1733
T,2030,S,1733,C,1833381762,R,1833381763,P,1733
T,2029,S,1733,C,0,R,1833381763,P,1733
T,2029,S,1733,C,1,R,1833381763,P,1733
T,2030,S,1733,C,314101886,R,-1833381763,P,-1733
T,2030,S,1733,C,314101885,R,-1833381763,P,-1733
T,2029,S,1733,C,2147483647,R,-1833381763,P,-1733
T,40,S,5,C,0,R,268435456,P,5
T,40,S,5,C,1,R,268435456,P,5
T,40,S,5,C,2,R,268435456,P,5
T,33,S,5,C,268435455,R,268435456,P,5
T,33,S,5,C,268435454,R,268435456,P,5
T,33,S,5,C,268435453,R,268435456,P,5
T,18,S,5,C,1915196032,R,-490123456,P,-5
T,18,S,5,C,1915196033,R,-490123456,P,-5
T,18,S,5,C,1915196034,R,-490123456,P,-5
T,22,S,5,C,2102185855,R,-490123456,P,-5
T,22,S,5,C,2102185854,R,-490123456,P,-5
T,22,S,5,C,2102185853,R,-490123456,P,-5
T,2,S,1,C,0,R,1073741824,P,1
T,2,S,1,C,1,R,1073741824,P,1
T,2,S,1,C,2,R,1073741824,P,1
T,1,S,1,C,1073741823,R,1073741824,P,1
T,1,S,1,C,1073741822,R,1073741824,P,1
T,1,S,1,C,1073741821,R,1073741824,P,1
T,1,S,1,C,1073741824,R,-1073741824,P,-1
T,1,S,1,C,1073741825,R,-1073741824,P,-1
T,1,S,1,C,1073741826,R,-1073741824,P,-1
T,2,S,1,C,2147483647,R,-1073741824,P,-1
T,2,S,1,C,2147483646,R,-1073741824,P,-1
T,2,S,1,C,2147483645,R,-1073741824,P,-1
T,10,S,0,C,2102483647,R,-9000000,P,0
T,10,S,0,C,45000000,R,9000000,P,0
T,1000,S,232,C,863689983,R,-999000000,P,-232
T,1000,S,232,C,1283793664,R,999000000,P,232
